b_U,mAP,mAP50,Params,experiment
16,0.3567152624176719,0.5713993342020731,0.0,gen1_sweep_bu_u16
8,0.35512999066947665,0.5870043866969494,0.0,gen1_sweep_bu_u8
6,0.39484331762012487,0.6448432147662227,0.0,gen1_sweep_bu_u6
4,0.3677814620403547,0.5908483916413462,0.0,gen1_sweep_bu_u4
